Time,B,D,M1,M2,N,ND
0,10,0,0,0,0,0
10,11,0.75,0.75,1.25,3.75,1.5
20,12.75,0.5,0.25,2.25,4.5,1.25
30,12.25,0.5,0.25,2.5,6.25,1.75
40,9.25,0,0,2.75,3.5,3.25
50,8.25,0.5,0,2.75,3.75,3
60,10.75,0.5,0,2.75,2.75,1.25
70,13,0.5,0,2.75,2.75,1
80,14.25,0,0,2.75,2.5,2.75
90,13.5,0.25,0,3,3.25,1.75
100,12.75,0,0,3,3.75,1.5
110,12.25,0.25,0,3,2.5,1.5
120,14.75,0.75,0,3,3.75,1.25
130,12.25,1,0,3,2.75,1.5
140,10.75,0.5,0,3.5,2.25,1.25
150,11.75,0.25,0,3.75,2.75,1
160,12,0.5,0,3.25,1.75,0.75
170,10.75,0.25,0,3.25,3,0
180,8.5,0,0,3.25,1.5,1.75
190,8,0.25,0,3,1.5,0.25
200,9,0.25,0,3,1.5,0.5
210,9.5,0.5,0,3,1.25,1.25
220,8.25,0.5,0,3,1.25,0.5
230,6.25,0,0,3,1.25,1.25
240,5,0,0,3,1.25,0.75
250,4.75,0,0,3,0.5,0.25
260,4.5,0,0,3,0.75,0.25
270,4.75,0,0,3,0.5,0
280,6,0.25,0,3,0.75,0.5
290,6.5,0.5,0,3,0.75,0.5
300,6.75,0,0,3,0.5,0.75
310,6.75,0.5,0,3,0,0.75
320,7.75,0,0,3,0.5,1
330,7,0,0,3,0.25,0.5
340,7.5,0.5,0,3,0.25,0.5
350,8.75,0.5,0.25,3,1.5,0
360,7,0.25,0,3.25,1,0.25
370,6.25,0,0,3.25,0.25,1
380,5.5,0.25,0,3.5,1.25,0.25
390,5.75,0,0,3.5,1,0.25
400,5.75,0,0,3.5,0.25,0.5
410,5.75,0.25,0,3.5,0.5,0.5
420,5.75,0.25,0,3.5,1,0
430,3.5,0.25,0,3.25,1,0
440,3,0,0,3.25,0.5,0.25
450,1.25,0,0,3.25,1,0.25
460,1.25,0,0,3.5,1,0
470,0,0,0,3.5,0.75,0
480,0,0,0,3.5,0.75,0
490,0,0,0,3.5,0.5,0
500,0,0,0,3.5,0.5,0
510,0,0,0,3.25,0.5,0
520,0,0,0,3.25,0.5,0
530,0,0,0,3.25,0.5,0
540,0,0,0,3.25,0.25,0
550,0,0,0,3.25,0.25,0
560,0,0,0,3.25,0.25,0
570,0,0,0,3.25,0,0
580,0,0,0,3.25,0,0
590,0,0,0,3.25,0,0
600,0,0,0,3.25,0,0
610,0,0,0,3.25,0,0
620,0,0,0,3,0,0
630,0,0,0,3,0,0
640,0,0,0,3,0,0
650,0,0,0,3,0,0
660,0,0,0,3,0,0
670,0,0,0,3,0,0
680,0,0,0,3,0,0
690,0,0,0,3,0,0
700,0,0,0,2.75,0,0
710,0,0,0,2.75,0,0
720,0,0,0,2.75,0,0
730,0,0,0,2.75,0,0
740,0,0,0,2.75,0,0
750,0,0,0,2.75,0,0
760,0,0,0,2.75,0,0
770,0,0,0,2.75,0,0
780,0,0,0,2.75,0,0
790,0,0,0,2.75,0,0
800,0,0,0,2.75,0,0
810,0,0,0,2.75,0,0
820,0,0,0,2.75,0,0
830,0,0,0,2.75,0,0
840,0,0,0,2.75,0,0
850,0,0,0,2.75,0,0
860,0,0,0,2.75,0,0
870,0,0,0,2.75,0,0
880,0,0,0,2.75,0,0
890,0,0,0,2.75,0,0
900,0,0,0,2.75,0,0
9