Time,AC,B,M,N,ND
0,0,10,2,0,0
20,0,10.2,2,0.8,0
40,0.2,11.4,2,0.6,0
60,0.6,10.2,2,2,0
80,0.8,10.6,1.8,1.6,0.6
100,1.4,9.4,1.8,1.4,1.2
120,1.4,8.6,1.8,1,1
140,1.8,7.2,1.8,1.2,1.8
160,1.6,8,1.8,1.4,2
180,2.4,9,1.8,1.6,1.6
200,1.6,8.4,1.8,1.6,0.6
220,0.8,9,1.8,1.2,0
240,0.4,9.4,1.8,0.8,0.4
260,0.6,9,1.8,0.8,0.2
280,1,6.4,1.8,6,1
300,2,6.4,1.8,3.6,1.2
320,3,6,1.8,2.8,1
340,1.6,6,1.8,2.8,1.6
360,2,5.8,1.8,2.8,0.6
380,1.8,5.4,1.8,1.4,2
400,2.2,5.2,1.8,1.4,1.4
420,1.4,5.2,1.8,0.4,1.4
440,1.8,5.8,2,0.4,1.2
460,2,6,2,0,0.2
480,1,6.2,2,0.2,1
500,0.2,5.6,2,0,0.2
520,0.2,6,1.8,0,0
540,0,5.6,1.8,0.4,0
560,0.2,6,1.8,0,0
580,0,6,1.8,0,0.4
600,0.4,6.6,1.8,0,0
620,0.2,7,1.8,0.4,0
640,0,6.8,1.8,0.4,0
660,0.4,7.2,1.8,0.2,0.2
680,0.6,7.8,1.8,0,0
700,0.2,7.8,1.8,0,0
720,0.2,8,1.8,0,0
740,0,8,1.6,0,0.4
760,0.2,8.8,1.6,0.4,0.6
780,1.6,8,1.6,7.6,2.2
800,2.8,6.6,1.6,8.2,3
820,3.2,6.4,1.6,4,3
840,4,7,1.6,3.4,0.4
860,1.8,7.2,1.6,2.4,0.8
880,2.4,7.2,1.6,1.6,0.6
900,1.2,7.4,1.4,1.2,0.6
920,1.2,7.2,1.4,1,0.6
940,1,7,1.4,1,0.8
960,0.8,6.6,1.4,0.8,1.8
980,0.2,6.4,1.2,0.2,2.6
1000,0,6.4,1.2,0.2,3.4
1020,0,7,1,0,3.6
1040,0,7,1,0,3.6
1060,0.2,7.4,1,0,3.4
1080,0,8.2,1,0,3.4
1100,0,8.4,1,0,3.4
1120,0,8.8,1,0,3.4
1140,0,9.4,1,0,3.8
1160,0,9.6,1,0,4.2
1180,0,10,1,0,4.2
1200,0,10.2,1,0,4.2
1220,0,10.8,1,0,4.2
1240,0,11.4,1,0.2,4.4
1260,0,11.4,1,0,4.6
1280,0,11.8,1,0,4.6
1300,0,11.8,1,0,4.6
1320,0,11.8,1,0,4.6
1340,0,12,1,0,4.6
1360,0,12.4,1,0,4.6
1380,0,12.8,1,0,4.6
1400,0,13,1,0,4.6
1420,0,13.6,0.8,0,4.6
1440,0,14,0.8,0,4.6
1460,0,14.6,0.8,0,4.6
1480,0,14.8,0.8,0,5
1500,0,15.2,0.8,0,5.4
1520,0,15.2,0.6,0,5.4
1540,0,15.8,0.6,0,5.4
1560,0,16,0.6,0.4,5.4
1580,0,15.8,0.6,0,6.2
1600,0,15.8,0.6,0,6.2
1620,0,16,0.6,0,6.2
1640,0,16.2,0.6,0,6.6
1660,0,16.4,0.6,0,6.6
1680,0,17.4,0.6,0.4,6.6
1700,0,17.6,0.6,0.4,7
1720,0,18,0.6,0,7.4
1740,0,18.4,0.6,0,7.4
1760,0,19,0.6,0,7.4
1780,0,19,0.6,0.4,8.2
1800,0,19.6,0.6,0.2,10.4
1820,0,19.8,0.6,0,10.6
1840,0,20.2,0.6,0,10.6
1860,0,20.6,0.6,0,10.6
1880,0,21.2,0.6,0,10.6
1900,0,22,0.6,0,10.6
1920,0,22.4,0.6,0,11
1940,0,22.